,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0,8.3252,41.0,,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,4.526
1,8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585
2,7.2574,52.0,,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521
3,5.6431,,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413
4,3.8462,52.0,6.281853281853282,1.0810810810810811,,2.1814671814671813,37.85,-122.25,3.422
5,4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,,37.85,-122.25,2.697
6,,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,2.992
7,3.12,52.0,4.797527047913447,,1157.0,1.7882534775888717,37.84,-122.25,2.414
8,2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,,-122.26,2.267
9,3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,,2.611
10,,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,2.815
11,3.2705,52.0,4.772479564032698,1.0245231607629428,,2.0490463215258856,37.85,-122.26,2.418
12,3.075,52.0,5.322649572649572,,1098.0,2.3461538461538463,37.85,-122.26,2.135
13,2.6736,52.0,4.0,1.0977011494252873,,1.9827586206896552,37.84,-122.26,1.913
14,1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,,1.592
15,2.125,50.0,,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4
16,2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525
17,2.1202,52.0,4.052805280528053,,648.0,2.1386138613861387,37.85,-122.27,1.555
18,1.9911,50.0,,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587
19,2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,,1.629
20,,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475
21,1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,,1.598
22,1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139
23,2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997
24,,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326
25,2.4038,41.0,4.495798319327731,,317.0,2.6638655462184873,37.85,-122.28,1.075
26,2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938
27,1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055
